id_colaborador;id_ultimo_jefe;seniority;modalidad_trabajo;distancia_oficina;dias_baja_salud;genero;canal_reclutamiento;permanencia_promedio;fecha_nacimiento;salario;performance_score;psi_score;fecha_incorporacion;estado_civil;abandono_6meses
100247;102074;1;Híbrida;1.76;1;Mujer;Ferias & Networking;1;25/11/1999;140011;99;75;25/01/2018;Soltero;0
103355;102115;1;Híbrida;0.76;2;Hombre;Ferias & Networking;2;16/10/1996;182774;99;81;24/07/2021;Soltero;1
100669;102060;1;Híbrida;4.95;3;Mujer;Referidos;11;29/01/1971;682106;96;74;13/07/2016;Viudo;0
103760;102062;1;Híbrida;13.03;2;Hombre;Linkedin;2;28/04/1992;270232;96;82;21/07/2014;Soltero;1
100965;102062;1;Híbrida;13.045;2;Hombre;Linkedin;2;3/05/1992;266804;95;82;22/07/2014;Soltero;0
101777;102078;1;Híbrida;0.94;2;Mujer;Portal Web;3;23/08/1986;366317;95;70;31/03/2017;Soltero;1
101793;102150;1;Híbrida;2.35;2;Hombre;Portal Web;6;1/11/1984;407557;95;69;25/04/2022;Soltero;1
101302;102088;1;Híbrida;2.095;1;Mujer;Portal Web;4;24/01/1982;851731;95;75;19/03/2018;Soltero;0
102687;102088;1;Híbrida;2.13;2;Mujer;Portal Web;4;18/01/1982;849922;95;75;22/03/2018;Soltero;0
100846;102172;1;Híbrida;1.535;1;Hombre;Linkedin;25;16/02/1970;836766;93;86;19/03/2023;Divorciado;0
104000;102061;1;Híbrida;5.21;8;Mujer;Linkedin;10;18/12/1970;678511;93;87;16/07/2016;Divorciado;1
103983;102140;1;Híbrida;4.335;10;Hombre;Portal Web;9;17/11/1967;859108;93;75;23/08/2022;Viudo;1
101482;102070;1;Híbrida;1.545;3;Hombre;Ferias & Networking;2;29/12/1993;230871;92;76;27/02/2017;Soltero;0
102481;102172;1;Híbrida;1.52;2;Hombre;Linkedin;25;5/02/1970;835941;92;86;18/03/2023;Divorciado;0
101068;102161;1;Híbrida;1.1;2;Mujer;Linkedin;2;24/11/2001;98281;91;74;6/03/2023;Soltero;0
101004;102026;1;Híbrida;1.865;5;Hombre;Portal Web;3;24/01/2001;116069;91;76;15/07/2012;Soltero;1
101846;102021;1;Híbrida;1.065;6;Mujer;Portal Web;1;4/03/2000;117243;91;69;11/06/2013;Soltero;1
100452;102133;1;Híbrida;5.105;0;Mujer;Ferias & Networking;1;5/10/1999;141964;91;77;1/12/2020;Soltero;0
100662;102132;1;Híbrida;3.415;1;Mujer;Portal Web;3;28/10/1998;140486;91;85;27/04/2021;Soltero;1
100173;102105;1;Híbrida;1.44;3;Hombre;Portal Web;4;19/12/1997;165504;91;64;6/07/2020;Soltero;0
101766;102142;1;Híbrida;3.13;6;Hombre;Portal Web;4;25/05/1994;208877;91;74;27/03/2023;Casado;0
101871;102153;1;Híbrida;2.37;1;Hombre;Portal Web;2;4/07/1994;213892;91;73;27/08/2021;Casado;0
100195;102065;1;Híbrida;2.135;2;Mujer;Portal Web;5;18/01/1993;245440;91;77;25/09/2016;Casado;1
100865;102102;1;Híbrida;1.47;2;Mujer;Referidos;7;21/01/1992;266340;91;86;2/10/2019;Divorciado;0
101236;102025;1;Híbrida;4.69;3;Hombre;Portal Web;3;25/09/1990;291412;91;76;7/01/2013;Casado;0
101866;102090;1;Híbrida;3.715;1;Hombre;Linkedin;7;14/03/1989;327254;91;89;19/11/2018;Soltero;0
100142;102100;1;Híbrida;2.84;1;Mujer;Linkedin;6;14/10/1989;309121;91;74;11/06/2017;Casado;0
100750;102068;1;Híbrida;3.975;0;Mujer;Linkedin;4;23/09/1989;306936;91;73;4/12/2016;Soltero;0
100055;102069;1;Híbrida;3.25;9;Mujer;Portal Web;5;1/05/1989;310925;91;77;17/10/2016;Divorciado;0
100042;102091;1;Híbrida;0.75;2;Mujer;Portal Web;6;27/02/1988;345283;91;73;26/02/2017;Soltero;1
100730;102123;1;Híbrida;2.47;2;Mujer;Portal Web;6;26/12/1987;344891;91;73;28/04/2020;Viudo;0
101926;102064;1;Híbrida;5.785;0;Hombre;Referidos;8;13/03/1987;345740;91;73;11/11/2014;Casado;0
101088;102040;1;Híbrida;1.165;1;Hombre;Portal Web;9;15/07/1983;425196;91;81;16/02/2014;Soltero;1
100285;102025;1;Híbrida;2.665;2;Mujer;Referidos;12;19/11/1980;491270;91;78;9/07/2013;Viudo;0
100870;102132;1;Híbrida;1.585;0;Hombre;Referidos;4;9/01/1980;248686;91;78;17/11/2021;Soltero;0
100839;102119;1;Híbrida;1.25;1;Mujer;Portal Web;14;29/10/1978;261262;91;81;4/01/2022;Divorciado;1
101418;102049;1;Híbrida;5.09;2;Mujer;Linkedin;5;30/12/1978;257412;91;72;14/09/2014;Casado;0
101850;102054;1;Híbrida;5.825;1;Hombre;Referidos;5;20/03/1976;285511;91;79;25/11/2015;Casado;0
101593;102016;1;Híbrida;5.67;2;Hombre;Referidos;6;12/02/1975;293996;91;76;16/10/2012;Soltero;0
100140;102133;1;Híbrida;5.445;2;Hombre;Portal Web;14;28/05/1974;297717;91;76;13/04/2022;Casado;0
101134;102057;1;Híbrida;3.125;1;Hombre;Portal Web;7;13/11/1972;634099;91;70;30/04/2015;Viudo;0
100324;102082;1;Híbrida;1.67;2;Hombre;Portal Web;7;30/11/1971;775708;91;65;28/12/2017;Divorciado;1
100620;102112;1;Híbrida;0.88;0;Hombre;Portal Web;10;15/08/1969;701751;91;72;18/02/2021;Soltero;0
100248;102001;1;Híbrida;5.19;1;Hombre;Referidos;13;12/12/1969;698680;91;75;13/01/2012;Divorciado;0
101054;102068;1;Híbrida;1.2;3;Hombre;Ferias & Networking;6;15/05/1967;735061;91;80;25/05/2015;Casado;0
100338;102052;1;Híbrida;4.77;5;Hombre;Portal Web;5;12/08/1965;919540;91;71;12/02/2013;Casado;0
100998;102119;1;Híbrida;3.93;1;Hombre;Portal Web;20;4/10/1964;920681;91;74;2/02/2022;Casado;0
101120;102047;1;Híbrida;6.075;1;Mujer;Portal Web;9;14/05/1964;901271;91;79;5/11/2014;Soltero;1
102989;102161;1;Híbrida;1.105;1;Mujer;Linkedin;2;13/01/2002;102061;91;74;7/03/2023;Soltero;0
103343;102140;1;Híbrida;3.95;1;Hombre;Referidos;1;16/11/2002;77856;91;75;18/04/2022;Soltero;0
104103;102021;1;Híbrida;1.045;6;Mujer;Portal Web;1;26/03/2000;124172;91;69;13/06/2013;Soltero;1
103012;102118;1;Híbrida;1.71;1;Mujer;Referidos;3;7/06/1999;143012;91;77;8/08/2020;Soltero;0
102957;102044;1;Híbrida;5.15;2;Hombre;Portal Web;2;9/02/1999;141388;91;72;14/02/2013;Casado;0
103989;102105;1;Híbrida;1.425;3;Hombre;Portal Web;4;23/11/1997;162463;91;64;5/07/2020;Soltero;1
103893;102156;1;Híbrida;2.135;0;Mujer;Portal Web;3;17/06/1996;182100;91;87;29/08/2022;Soltero;1
102514;102171;1;Híbrida;2.295;0;Hombre;Portal Web;5;23/06/1994;208134;91;66;25/06/2023;Soltero;0
103692;102126;1;Híbrida;3.505;2;Hombre;Ferias & Networking;3;18/09/1994;206256;91;86;12/06/2021;Soltero;0
103228;102156;1;Híbrida;1.345;0;Hombre;Referidos;5;16/12/1988;332717;91;75;28/09/2022;Soltero;0
103524;102091;1;Híbrida;0.71;3;Mujer;Portal Web;6;18/01/1988;351497;91;73;25/02/2017;Soltero;0
102708;102123;1;Híbrida;2.49;1;Mujer;Portal Web;6;7/11/1987;348568;91;73;30/04/2020;Viudo;0
102239;102064;1;Híbrida;5.785;0;Hombre;Referidos;8;23/04/1987;345385;91;73;12/11/2014;Casado;0
103319;102129;1;Híbrida;1.825;3;Hombre;Ferias & Networking;2;5/08/1985;386314;91;66;13/01/2022;Soltero;1
103054;102021;1;Híbrida;2.335;2;Mujer;Linkedin;4;9/12/1984;407156;91;74;28/09/2012;Casado;0
102597;102042;1;Híbrida;6.63;9;Hombre;Linkedin;11;24/09/1983;425198;91;65;11/09/2012;Casado;0
103454;102090;1;Híbrida;1.985;1;Mujer;Linkedin;3;2/09/1981;867018;91;75;24/12/2018;Casado;0
102889;102025;1;Híbrida;2.71;2;Mujer;Referidos;12;5/11/1980;485490;91;78;7/07/2013;Viudo;0
103857;102045;1;Híbrida;1.54;1;Mujer;Linkedin;5;26/06/1978;256642;91;81;31/07/2015;Soltero;0
103361;102049;1;Híbrida;5.085;2;Mujer;Linkedin;5;25/10/1978;254243;91;72;14/09/2014;Casado;0
103395;102042;1;Híbrida;2.67;2;Mujer;Ferias & Networking;8;25/03/1978;374624;91;64;12/05/2014;Casado;0
102851;102042;1;Híbrida;6.465;1;Mujer;Portal Web;13;3/01/1978;265523;91;73;29/05/2013;Casado;0
104162;102119;1;Híbrida;4.66;0;Mujer;Portal Web;6;24/07/1975;461479;91;74;26/03/2021;Soltero;0
103125;102159;1;Híbrida;2.335;2;Mujer;Linkedin;11;14/10/1974;294705;91;70;24/04/2023;Viudo;1
103202;102016;1;Híbrida;5.645;3;Hombre;Referidos;6;4/12/1974;301384;91;76;18/10/2012;Soltero;1
103473;102143;1;Híbrida;1.535;6;Hombre;Portal Web;11;24/05/1972;635064;91;75;31/03/2023;Viudo;0
104088;102120;1;Híbrida;3.27;0;Mujer;Portal Web;13;9/06/1971;657510;91;64;26/04/2022;Divorciado;0
104022;102110;1;Híbrida;2.425;5;Hombre;Portal Web;7;3/02/1971;660549;91;72;3/06/2019;Viudo;1
102387;102073;1;Híbrida;0.84;1;Hombre;Referidos;8;23/05/1970;676398;91;82;21/04/2015;Viudo;0
102524;102001;1;Híbrida;5.175;1;Hombre;Referidos;13;22/12/1969;696350;91;75;13/01/2012;Divorciado;0
